"id","name","name_eng","category","category_specific","volume","alcohol","price","brand","nation","bottled","name_eng-2","region","region_detail","distillery","importer","external_image_url","image_url","full_image_url"
40301165,"라센 바이킹 벨","Larsen Viking Bell","브랜디","꼬냑",500,"40",260000,"Larsen","프랑스",NULL,"Larsen Viking Bell","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/da5b605d-49b9-40eb-b80d-6c85c0d9ef4e.webp",NULL,NULL
10102454,"레칙 10년","Ledaig 10yo","싱글몰트","싱글몰트 위스키",700,"46.3",89000,"Ledaig","스코틀랜드",NULL,"Ledaig 10yo","뮬 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/67146d21-5fd2-4f8d-9cf2-f513345d900a.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102454_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102454.png"
10102455,"레칙 18년","Ledaig 18yo","싱글몰트","싱글몰트 위스키",700,"46.3",228800,"Ledaig","스코틀랜드",NULL,"Ledaig 18yo","뮬 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/e539769b-4738-4b26-ab0c-0d72bd0ba9bd.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102455_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102455.png"
10102456,"레칙 싱클레어","Ledaig Sinclair","싱글몰트","싱글몰트 위스키",700,"46.3",81400,"Ledaig","스코틀랜드",NULL,"Ledaig Sinclair","뮬 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/fc70e114-a0b4-465f-8e47-75d3b328a55b.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102456_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102456.png"
40301167,"레로 뀌베 20","Lheraud Cuvee 20","브랜디","꼬냑",700,"43",259000,"Lheraud","프랑스",NULL,"Lheraud Cuvee 20","꼬냑","쁘띠 상파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/4675f6fe-6aaa-4fb7-8c5f-128fefdc144a.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301167_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301167.png"
40301168,"레로 뀌베 애니버세어 1942 - 2012","Lheraud Cuvee Anniversaire 1942 - 2012","브랜디","꼬냑",700,"42",1200000,"Lheraud","프랑스",NULL,"Lheraud Cuvee Anniversaire 1942 - 2012","꼬냑","쁘띠 상파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/05d78843-6572-41d0-8327-43920baa325a.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301168_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301168.png"
40301169,"레로 XO 루블리","Lheraud XO L'Oublie","브랜디","꼬냑",700,"40",182000,"Lheraud","프랑스",NULL,"Lheraud XO L'Oublie","꼬냑","쁘띠 상파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/d914efe3-7967-4ad0-bbb5-f1b93658c2d4.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301169_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301169.png"
10102457,"린도어스 싱글몰트","Lindores Single Malt","싱글몰트","싱글몰트 위스키",700,"46",93900,"Lindores","스코틀랜드",NULL,"Lindores Single Malt","로우랜드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/64550d61-039b-4928-90f7-64749ed4c41b.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102457_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102457.png"
10102458,"린도어스 싱글몰트 버번 배럴","Lindores Single Malt Casks of Lindores II Bourbon Barrel","싱글몰트","싱글몰트 위스키",700,"49.4",109000,"Lindores","스코틀랜드",NULL,"Lindores Single Malt Casks of Lindores II Bourbon Barrel","로우랜드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/a8bb8aac-8454-4fe4-a2ab-d1ab62fe8e49.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102458_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102458.png"
10102459,"린도어스 싱글몰트 셰리 벗","Lindores Single Malt Casks of Lindores II Sherry Butts Sherry Butts","싱글몰트","싱글몰트 위스키",700,"49.4",120000,"Lindores","스코틀랜드",NULL,"Lindores Single Malt Casks of Lindores II Sherry Butts Sherry Butts","로우랜드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/668d28b1-b198-44e6-baf7-9b770e90f58a.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102459_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102459.png"
10102460,"린도어스 싱글몰트 STR 와인 바리끄","Lindores Single Malt Casks of Lindores STR Wine Barrique","싱글몰트","싱글몰트 위스키",700,"49.4",109000,"Lindores","스코틀랜드",NULL,"Lindores Single Malt Casks of Lindores STR Wine Barrique","로우랜드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/3155cbcb-6573-491c-a7eb-5934ef571c94.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102460_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102460.png"
10102482,"막탈라 마라 CS","Mac Talla Mara CS","싱글몰트","싱글몰트 위스키",700,"58.2",133000,"Mac Talla","스코틀랜드",NULL,"Mac Talla Mara CS","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/c69a3c53-b29a-4342-9ecc-f4fe4642dd1f.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102482_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102482.png"
10102483,"막탈라 페드로 히메네즈","Mac Talla Pedro Ximenez","싱글몰트","싱글몰트 위스키",700,"54.6",204000,"Mac Talla","스코틀랜드",NULL,"Mac Talla Pedro Ximenez","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/636797c7-e462-40dc-bcc5-5e53e2d9385e.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102483_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102483.png"
10102484,"막탈라 레드 와인 바리끄","Mac Talla Red Wine Barrique","싱글몰트","싱글몰트 위스키",700,"53.8",214000,"Mac Talla","스코틀랜드",NULL,"Mac Talla Red Wine Barrique","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/41058a71-18fb-4a83-bd9f-2d4eb01ce2bb.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102484_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102484.png"
10102485,"막탈라 스트라타 15년","Mac Talla Strata 15yo","싱글몰트","싱글몰트 위스키",700,"46",213000,"Mac Talla","스코틀랜드",NULL,"Mac Talla Strata 15yo","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/7b94574f-c91a-49ab-b78b-667e05db12f3.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102485_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102485.png"
10102486,"막탈라 테라 클래식 아일라","Mac Talla Terra Classic Islay","싱글몰트","싱글몰트 위스키",700,"46",127500,"Mac Talla","스코틀랜드",NULL,"Mac Talla Terra Classic Islay","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/4ccd90ab-a19a-4493-9778-ffea2ba29088.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102486_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102486.png"
10102565,"미클토어 더 친커핀 원","Meikle Tòir The Chinquapin One","싱글몰트","싱글몰트 위스키",700,"50",109000,"Meikle Tòir","스코틀랜드",NULL,"Meikle Tòir The Chinquapin One","스페이사이드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/2e4c2575-63e8-4c69-8994-712bf412ce04.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102565_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102565.png"
10102566,"미클토어 더 오리지널","Meikle Tòir The Original","싱글몰트","싱글몰트 위스키",700,"50",109000,"Meikle Tòir","스코틀랜드",NULL,"Meikle Tòir The Original","스페이사이드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/e8a69cf6-43ec-4df0-b02f-729c7c427f6e.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102566_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102566.png"
